State,H_COMP_1_LINEAR_SCORE,H_COMP_2_LINEAR_SCORE
AK,92.36363636363636,91.72727272727273
AL,90.9074074074074,91.11111111111111
AR,91.37837837837837,91.48648648648648
AZ,90.27692307692308,88.73846153846154
CA,89.6063829787234,89.04609929078015
CO,91.39285714285714,91.23214285714286
CT,90.53846153846153,90.26923076923077
DC,87.16666666666667,90.33333333333333
DE,90.85714285714286,90.42857142857143
FL,89.55089820359281,88.49700598802396
GA,90.74468085106383,91.01063829787235
HI,91.61538461538461,91.84615384615384
IA,91.97872340425532,91.38297872340425
ID,92.47826086956522,92.08695652173913
IL,90.70247933884298,90.07438016528926
IN,91.5632183908046,90.91954022988506
KS,92.4074074074074,92.12962962962963
KY,92.06666666666666,91.58333333333333
LA,92.46774193548387,92.88709677419355
MA,91.38461538461539,90.78846153846153
MD,89.5952380952381,90.04761904761905
ME,93.04,92.76
MI,91.27083333333333,90.29166666666667
MN,92.8,92.62857142857143
MO,91.34210526315789,90.9342105263158
MS,91.75675675675676,92.45945945945945
MT,92.55,92.15
NC,91.71428571428571,91.82417582417582
ND,91.0,90.81818181818181
NE,92.80555555555556,92.63888888888889
NH,92.76190476190476,91.9047619047619
NJ,89.75,88.91666666666667
NM,90.04,89.68
NV,89.73076923076923,87.73076923076923
NY,89.66417910447761,89.41044776119404
OH,92.20610687022901,90.92366412213741
OK,91.48148148148148,91.14814814814815
OR,92.27272727272727,91.9090909090909
PA,92.41605839416059,91.10218978102189
PR,87.0,89.3
RI,91.81818181818181,91.36363636363636
SC,91.65306122448979,91.73469387755102
SD,93.22222222222223,92.33333333333333
TN,91.28378378378379,91.06756756756756
TX,90.9342105263158,90.32456140350877
UT,91.70588235294117,92.11764705882354
VA,92.01298701298701,91.51948051948052
VI,90.0,91.0
VT,92.76923076923077,92.6923076923077
WA,91.05,90.78333333333333
WI,93.33333333333333,92.56565656565657
WV,92.80555555555556,91.83333333333333
WY,92.23076923076923,92.23076923076923
