Facility ID,Facility Name,State,H_COMP_1_LINEAR_SCORE,H_COMP_2_LINEAR_SCORE
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,90.0,92.0
010005,MARSHALL MEDICAL CENTERS,AL,91.0,93.0
010006,NORTH ALABAMA MEDICAL CENTER,AL,89.0,88.0
010007,MIZELL MEMORIAL HOSPITAL,AL,91.0,93.0
010011,ST. VINCENT'S EAST,AL,90.0,91.0
010012,DEKALB REGIONAL MEDICAL CENTER,AL,93.0,92.0
010016,SHELBY BAPTIST MEDICAL CENTER,AL,89.0,90.0
010019,HELEN KELLER HOSPITAL,AL,93.0,90.0
010023,BAPTIST MEDICAL CENTER SOUTH,AL,90.0,90.0
010024,JACKSON HOSPITAL & CLINIC INC,AL,90.0,91.0
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,91.0,92.0
010033,UNIVERSITY OF ALABAMA HOSPITAL,AL,91.0,92.0
010035,CULLMAN REGIONAL MEDICAL CENTER,AL,93.0,90.0
010036,ANDALUSIA HEALTH,AL,92.0,92.0
010039,HUNTSVILLE HOSPITAL,AL,91.0,91.0
010040,GADSDEN REGIONAL MEDICAL CENTER,AL,90.0,89.0
010045,FAYETTE MEDICAL CENTER,AL,97.0,96.0
010046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,92.0,86.0
010049,MEDICAL CENTER ENTERPRISE,AL,93.0,92.0
010052,LAKE MARTIN COMMUNITY HOSPITAL,AL,94.0,94.0
010055,FLOWERS HOSPITAL,AL,91.0,91.0
010056,ST VINCENT'S BIRMINGHAM,AL,88.0,91.0
010061,HIGHLANDS MEDICAL CENTER,AL,94.0,92.0
010065,RUSSELL MEDICAL CENTER,AL,90.0,87.0
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,87.0,86.0
010079,ATHENS LIMESTONE HOSPITAL,AL,94.0,93.0
010083,BALDWIN HEALTH,AL,92.0,91.0
010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,91.0,92.0
010087,USA HEALTH UNIVERSITY HOSPITAL,AL,90.0,91.0
010089,WALKER BAPTIST MEDICAL CENTER,AL,89.0,89.0
010090,"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",AL,88.0,89.0
010092,DCH REGIONAL MEDICAL CENTER,AL,90.0,90.0
010099,D W MCMILLAN MEMORIAL HOSPITAL,AL,88.0,88.0
010100,THOMAS HOSPITAL,AL,92.0,92.0
010101,CITIZENS BAPTIST MEDICAL CENTER,AL,95.0,93.0
010103,PRINCETON BAPTIST MEDICAL CENTER,AL,89.0,92.0
010104,GRANDVIEW MEDICAL CENTER,AL,91.0,91.0
010108,PRATTVILLE BAPTIST HOSPITAL,AL,93.0,90.0
010112,WHITFIELD REGIONAL HOSPITAL,AL,89.0,93.0
010113,MOBILE INFIRMARY MEDICAL CENTER,AL,89.0,90.0
010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",AL,88.0,92.0
010118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,AL,86.0,89.0
010126,TROY REGIONAL MEDICAL CENTER,AL,94.0,92.0
010129,NORTH BALDWIN INFIRMARY,AL,94.0,95.0
010130,ST VINCENT'S ST CLAIR,AL,93.0,90.0
010131,CRESTWOOD MEDICAL CENTER,AL,89.0,89.0
010139,BROOKWOOD BAPTIST MEDICAL CENTER,AL,87.0,91.0
010144,SPRINGHILL MEDICAL CENTER,AL,88.0,90.0
010148,EVERGREEN MEDICAL CENTER,AL,94.0,97.0
010149,BAPTIST MEDICAL CENTER EAST,AL,92.0,91.0
01014F,BIRMINGHAM VA MEDICAL CENTER,AL,92.0,93.0
010164,COOSA VALLEY MEDICAL CENTER,AL,90.0,92.0
010168,JACK HUGHSTON MEMORIAL HOSPITAL,AL,94.0,93.0
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,AL,88.0,91.0
020001,PROVIDENCE ALASKA MEDICAL CENTER,AK,92.0,91.0
020006,MAT-SU REGIONAL MEDICAL CENTER,AK,93.0,91.0
020008,BARTLETT REGIONAL HOSPITAL,AK,94.0,94.0
020012,FAIRBANKS MEMORIAL HOSPITAL,AK,90.0,90.0
020017,ALASKA REGIONAL HOSPITAL,AK,91.0,90.0
020018,YUKON KUSKOKWIM DELTA REG HOSPITAL,AK,90.0,91.0
020024,CENTRAL PENINSULA GENERAL HOSPITAL,AK,91.0,91.0
020026,ALASKA NATIVE MEDICAL CENTER,AK,90.0,89.0
02013F,673rd Medical Group (Joint Base Elmendorf-Richardson),AK,95.0,94.0
021311,PEACEHEALTH KETCHIKAN MEDICAL CENTER,AK,93.0,92.0
021313,SOUTH PENINSULA HOSPITAL,AK,97.0,96.0
030002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,AZ,91.0,89.0
030006,TUCSON MEDICAL CENTER,AZ,89.0,88.0
030007,VERDE VALLEY MEDICAL CENTER,AZ,91.0,89.0
030010,ST. MARY'S HOSPITAL,AZ,86.0,86.0
030011,ST JOSEPH'S HOSPITAL,AZ,85.0,85.0
030012,YAVAPAI REGIONAL MEDICAL CENTER,AZ,92.0,87.0
030013,YUMA REGIONAL MEDICAL CENTER,AZ,90.0,88.0
030014,HONOR HEALTH JOHN C. LINCOLN MEDICAL CENTER,AZ,90.0,89.0
030016,BANNER CASA GRANDE MEDICAL CENTER,AZ,89.0,87.0
030022,VALLEYWISE HEALTH MEDICAL CENTER,AZ,89.0,89.0
030023,FLAGSTAFF MEDICAL CENTER,AZ,91.0,91.0
030024,ST JOSEPHS HOSPITAL AND MEDICAL CENTER,AZ,91.0,89.0
030030,ABRAZO CENTRAL CAMPUS,AZ,85.0,82.0
030036,CHANDLER REGIONAL MEDICAL CENTER,AZ,92.0,89.0
030037,HONORHEALTH TEMPE MEDICAL CENTER,AZ,83.0,84.0
030038,HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER,AZ,91.0,90.0
030043,CANYON VISTA MEDICAL CENTER,AZ,90.0,88.0
030055,KINGMAN REGIONAL MEDICAL CENTER,AZ,90.0,87.0
030061,BANNER BOSWELL MEDICAL CENTER,AZ,89.0,86.0
030062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ,90.0,87.0
030064,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,AZ,88.0,87.0
030065,BANNER DESERT MEDICAL CENTER,AZ,88.0,85.0
030069,HAVASU REGIONAL MEDICAL CENTER,AZ,89.0,84.0
030071,FORT DEFIANCE INDIAN HOSPITAL,AZ,90.0,92.0
030073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,AZ,90.0,91.0
030078,PHOENIX INDIAN MEDICAL CENTER,AZ,95.0,95.0
030083,ABRAZO SCOTTSDALE CAMPUS,AZ,87.0,87.0
030085,NORTHWEST MEDICAL CENTER,AZ,87.0,85.0
030087,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,AZ,91.0,90.0
030088,BANNER BAYWOOD MEDICAL CENTER,AZ,88.0,85.0
030089,BANNER THUNDERBIRD MEDICAL CENTER,AZ,86.0,86.0
030092,HONORHEALTH DEER VALLEY MEDICAL CENTER,AZ,91.0,87.0
030093,BANNER DEL E. WEBB MEDICAL CENTER,AZ,89.0,87.0
030094,ABRAZO ARROWHEAD HOSPITAL,AZ,88.0,87.0
030101,WESTERN ARIZONA REGIONAL MEDICAL CENTER,AZ,88.0,84.0
030103,MAYO CLINIC HOSPITAL,AZ,95.0,95.0
030105,BANNER HEART HOSPITAL,AZ,92.0,89.0
030107,ARIZONA SPINE AND JOINT HOSPITAL,AZ,94.0,94.0
030108,THE CORE INSTITUTE SPECIALTY HOSP,AZ,94.0,92.0
030110,ABRAZO WEST CAMPUS,AZ,86.0,84.0
030111,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,AZ,89.0,91.0
030112,ARIZONA ORTHOPEDIC AND SURGICAL SPECIALTY HOSPITAL,AZ,93.0,92.0
030113,WHITERIVER PHS INDIAN HOSPITAL,AZ,90.0,91.0
030114,ORO VALLEY HOSPITAL,AZ,89.0,89.0
030115,BANNER ESTRELLA MEDICAL CENTER,AZ,90.0,90.0
